Car_url,Year,Make,Model,Fuel_type,Price,Kms_Driven,Transmission,Address,City,Down_payment_amount,Loan_amount,Interest_rate_annual,Tenure_months,Emi
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/alcazar/platinum-o-7-seater-15-diesel-at-kukatpally-2022/25172349/,2022,Hyundai,Alcazar,diesel,1642000,65000,automatic,"Kukatpally, Hyderabad",Hyderabad,328400,1313600,9.5,60,27588
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/lxi-kukatpally-2014/25412997/,2014,Maruti,Alto 800,petrol,215000,64500,manual,"Kukatpally, Hyderabad",Hyderabad,43000,172000,9.5,60,3612
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/lxi-uppal-2014/26754148/,2014,Maruti,Alto 800,petrol,231000,46500,manual,"Uppal, Hyderabad",Hyderabad,46200,184800,9.5,60,3881
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/eon/sportz-kukatpally-2016/26770332/,2016,Hyundai,Eon,petrol,284000,58500,manual,"Kukatpally, Hyderabad",Hyderabad,56800,227200,9.5,60,4772
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/verna/fluidic-16-crdi-sx-kukatpally-2012/26289570/,2012,Hyundai,Verna,diesel,353000,126500,manual,"Kukatpally, Hyderabad",Hyderabad,70600,282400,9.5,60,5931
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/vxi-plus-uppal-2021/26465528/,2021,Maruti,Alto 800,petrol,352000,31500,manual,"Uppal, Hyderabad",Hyderabad,70400,281600,9.5,60,5914
https://www.spinny.com/buy-used-cars/hyderabad/honda/brio/s-mt-uppal-2017/26539783/,2017,Honda,Brio,petrol,353000,101500,manual,"Uppal, Hyderabad",Hyderabad,70600,282400,9.5,60,5931
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/xcent/sx-o-uppal-2018/25752565/,2018,Hyundai,Xcent,petrol,476999,43500,manual,"Uppal, Hyderabad",Hyderabad,95399,381600,9.5,60,8014
https://www.spinny.com/buy-used-cars/hyderabad/honda/city/v-petrol-kukatpally-2022/26437500/,2022,Honda,City,petrol,1019000,33000,manual,"Kukatpally, Hyderabad",Hyderabad,203800,815200,9.5,60,17121
https://www.spinny.com/buy-used-cars/hyderabad/renault/kwid/rxl-uppal-2016/25701205/,2016,Renault,Kwid,petrol,242000,60500,manual,"Uppal, Hyderabad",Hyderabad,48400,193600,9.5,60,4066
https://www.spinny.com/buy-used-cars/hyderabad/bmw/x1/sdrive20d-m-sport-kukatpally-2016/26553250/,2016,BMW,X1,diesel,1700000,60000,automatic,"Kukatpally, Hyderabad",Hyderabad,340000,1360000,9.5,60,28563
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/xl6/alpha-plus-mt-petrol-kukatpally-2023/26304329/,2023,Maruti,XL6,petrol,1127000,32000,manual,"Kukatpally, Hyderabad",Hyderabad,225400,901600,9.5,60,18935
https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-14-kukatpally-2019/25644690/,2019,Kia,Seltos,petrol,1126000,64000,manual,"Kukatpally, Hyderabad",Hyderabad,225200,900800,9.5,60,18918
https://www.spinny.com/buy-used-cars/hyderabad/skoda/slavia/style-10l-tsi-mt-kukatpally-2022/25794620/,2022,Skoda,Slavia,petrol,1132000,64500,manual,"Kukatpally, Hyderabad",Hyderabad,226400,905600,9.5,60,19019
https://www.spinny.com/buy-used-cars/hyderabad/toyota/innova-crysta/vx-27-7-str-kukatpally-2023/26943450/,2023,Toyota,Innova Crysta,petrol,1784000,33500,manual,"Kukatpally, Hyderabad",Hyderabad,356800,1427200,9.5,60,29974
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/baleno/zeta-12-kukatpally-2017/26352401/,2017,Maruti,Baleno,petrol,552000,39500,manual,"Kukatpally, Hyderabad",Hyderabad,110400,441600,9.5,60,9274
https://www.spinny.com/buy-used-cars/hyderabad/kia/sonet/htx-15-kukatpally-2022/26690207/,2022,Kia,Sonet,diesel,1035000,32000,manual,"Kukatpally, Hyderabad",Hyderabad,207000,828000,9.5,60,17390
https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-14-dct-kukatpally-2021/26535704/,2021,Kia,Seltos,petrol,1360000,72000,automatic,"Kukatpally, Hyderabad",Hyderabad,272000,1088000,9.5,60,22850
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/lxi-uppal-2019/26365651/,2019,Maruti,Alto 800,petrol,274000,42000,manual,"Uppal, Hyderabad",Hyderabad,54800,219200,9.5,60,4604
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-11-crdi-kukatpally-2014/26075031/,2014,Hyundai,Grand i10,diesel,321000,82000,manual,"Kukatpally, Hyderabad",Hyderabad,64200,256800,9.5,60,5393
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/baleno/delta-12-uppal-2018/26708460/,2018,Maruti,Baleno,petrol,500000,77000,manual,"Uppal, Hyderabad",Hyderabad,100000,400000,9.5,60,8401
